1	"Старый Кремль"
2	"МИКО-Банк"
3	Finist
4	Retail
5	Diasoft
6	VBScript
7	SQL
8	KLIKO
9	"Клиент-Банк"
10	VBA
11	"Описания программ"
12	JAVA
13	C/C++
14	Windows
15	XSLT
16	HTML
17	XML
18	Delphi
19	"РОСТ Банк"
20	Qt
21	"Банковское дело"
22	Linux
23	"ХД-РОСТ"
24	Oracle
25	"Из собседований"
26	"Альфа Банк"
27	JavaScript
